stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self
0.10159391149213097,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,59.0,1035.0,0.0
0.10274211855584331,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,63.0,984.0,0.0
0.1036155563010189,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,62.0,824.0,0.0
0.10110785740147447,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10377498297778653,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10108271988970552,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,58.0,1089.0,0.0
0.10165261647266072,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,55.0,846.0,0.0
0.1019077136537315,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.10255417338008822,0.8,0.9,100.0,500.0,0.0,1.0,1.0,5.0e6,200000.0,101.0,103.0,0.0
0.11156405993353018,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,492.0,0.0
0.10916146473280691,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,493.0,0.0
0.10958401810244155,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,491.0,0.0
0.1108559954633524,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,567.0,0.0
0.10997066434690787,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,6.0,501.0,0.0
0.10869794263834263,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,4.0,512.0,0.0
0.10999180715062676,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,8.0,343.0,0.0
0.10965395469563903,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,2.0,485.0,0.0
0.10924961108920579,0.8,0.9,100.0,500.0,0.1,1.0,1.0,5.0e6,200000.0,5.0,547.0,0.0
