stable_gens,density,c,nSpecies,boardSize,dispersal,demes,alpha,bLim,maxDens,richness,gens,self,jac,envdet,pie
0.09771852145197722,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.28302382999134085,0.35,0.8885192658187178
0.09677526181680163,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,34.0,1610.0,1.0,0.46956344984434234,0.6599999999999999,0.6607479911261588
0.09500218952625512,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,67.0,885.0,1.0,0.25806204420214945,0.48235294117647054,0.8296898836950233
0.09752900246744453,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,52.0,1197.0,1.0,0.3517006288315801,0.717948717948718,0.7835908301054008
0.09688069341150228,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,59.0,922.0,1.0,0.2620411260468619,0.41000000000000003,0.8106548124876382
0.09743262638588242,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,48.0,1350.0,1.0,0.36315127473666897,0.5151515151515151,0.8001992933112992
0.09752428281390985,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.0,0.0,0.8471204931507718
0.09707840911931256,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,104.0,1.0,0.0,0.61,0.833078549277839
0.09680299292811341,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.0,0.5900000000000001,0.8414915070905443
0.09613597196492137,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.0,0.53,0.9054284114558258
0.09552757278066705,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,65.0,751.0,1.0,0.34999997641215436,0.35,0.7733437065252999
0.09665402435196638,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.0,0.6599999999999999,0.8069150043419417
0.09776848639073463,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,62.0,963.0,1.0,0.3799999758199629,0.48235294117647054,0.8014272122594941
0.09675931591348749,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,48.0,1667.0,1.0,0.5199999555107662,0.717948717948718,0.7948540585010664
0.0945995987282107,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,100.0,103.0,1.0,0.0,0.41000000000000003,0.8720422940624194
0.09653752270996625,0.8,0.9,100.0,500.0,false,1.0,1.0,5.0e6,200000.0,99.0,182.0,1.0,0.010000237092441362,0.5151515151515151,0.7941076567596977
0.09045218133213508,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,481.0,1.0,0.7392324741116719,1.0,0.7434656811246624
0.09128388754888155,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,7.0,478.0,1.0,0.6932613050945047,1.0,0.6263980315410788
0.09094034642568184,0.8,0.9,100.0,500.0,true,1.0,1.0,5.0e6,200000.0,4.0,482.0,1.0,0.44168562114936155,1.0,0.5442683600635332
